epoch,train_loss,train_acc,val_loss,val_acc
1,0.6516977714451248,0.6080999857187271,0.6261524331967346,0.641199985742569
2,0.5043131974740304,0.7492499820888042,0.33174100568294534,0.8665999782085418
3,0.35331727768539567,0.8510749807953835,0.305598397517018,0.8747999835014343
4,0.23880544692124375,0.9069499811530113,0.2752704894622322,0.8913999807834625
5,0.1831343745340658,0.9320499822497368,0.2766151381582022,0.8917999827861786
6,0.15687251288499016,0.9423999820649623,0.3017597380924504,0.882199980020523
7,0.1230462564659803,0.9571999759972095,0.3338077854802104,0.8749999761581421
8,0.08928402411174996,0.9700999706983566,0.3838375583941045,0.8789999794960022
9,0.07045564057382298,0.9769499683380127,0.41269432854914917,0.8783999812602997
10,0.0531863257926359,0.9831499692797661,0.48162870230849536,0.8747999823093414
11,0.04479145000217554,0.9853499679267407,0.47259329016820717,0.8665999817848206
12,0.037688933892073444,0.9871749685704708,0.5266592314276375,0.8645999813079834
13,0.02988695941022312,0.9905499748885631,0.5619348550177795,0.8571999824047088
14,0.02852883119639363,0.9907249756157398,0.6349587420016042,0.8547999823093414
15,0.021145016665260485,0.9930749762058259,0.6292661484711873,0.858199976682663
