epoch,train_loss,train_acc,val_loss,val_acc
1,0.7028914375794316,0.515049988925457,0.6964778196950675,0.5153999865055084
2,0.6966113037384836,0.5098249864578247,0.6941498406801374,0.5059999841451644
3,0.6940738362867624,0.517449986115098,0.6944135608166455,0.5217999875545501
4,0.6864745678819543,0.538174986243248,0.682991993343737,0.5511999875307083
5,0.6610587773282606,0.5929999857395888,0.6566515561819076,0.6007999914884568
6,0.5762752525878374,0.7078499826788902,0.6895990799535067,0.5163999855518341
7,0.5882471010035719,0.6944749826937914,0.6754123429462314,0.5315999847650528
8,0.566437536904003,0.7126499826461077,0.665119428414479,0.5803999888896942
9,0.6435556152403851,0.6055749860405922,0.671893186606746,0.5909999853372574
10,0.568508186219755,0.7344749826937914,0.5556029089764692,0.7401999795436859
11,0.5119295529497729,0.7791499808430672,0.5797165445598075,0.7181999814510346
12,0.49539407563729826,0.7741999804973603,0.5775747969851088,0.7267999839782715
13,0.4749675844155491,0.8002249798178673,0.6521010365905275,0.610199989080429
14,0.4800758736535135,0.7951749813556671,0.6080939131075218,0.677599984407425
15,0.5125567516898033,0.7485999807715416,0.6222627013966744,0.6731999897956848
